seller_id,Name,Link,ImageURL
1828,Mac&More,https://tiki.vn/cua-hang/mac-more,96/78/d8/675443c104100fd24fee9c57f3f79fa6.jpg
52525,An Khang Computer,https://tiki.vn/cua-hang/an-khang-computer,cf/bd/dd/88c80230fb386b035b99f7697378a438.png
52525,An Khang Computer,https://tiki.vn/cua-hang/an-khang-computer,https://vcdn.tikicdn.com/ts/seller/cf/bd/dd/88c80230fb386b035b99f7697378a438.png
11119,GIA DỤNG VIỆT,https://tiki.vn/cua-hang/nguyen-van-thang,47/20/4f/9800dd1b2ca67db582030ded1dc700b3.png
12854,ThuanThienTs,https://tiki.vn/cua-hang/thuanthients,https://vcdn.tikicdn.com/ts/seller/de/e1/fa/5e205d4b1e4b52bc22c1ee3932db472f.jpg
212607,Nguyễn Kim Official,https://tiki.vn/cua-hang/nguyen-kim-official,c2/4f/4c/0d2d1291731bfeed9ae2597dfa008668.jpg
12395,Vi Tính Lê Huy,https://tiki.vn/cua-hang/vi-tinh-le-huy,46/bf/c5/9c567925e5c8a3aa84c67159d8a4946c.png
27572,NGUYENVUSTORE,https://tiki.vn/cua-hang/nguyenvustore,https://vcdn.tikicdn.com/ts/seller/fb/20/68/f0a6ed78fc9b961c64df752f2f01d90d.jpg
45223,Bảo Hân Treasures,https://tiki.vn/cua-hang/bao-han-treasures,e8/cb/21/9589a13e3034a858189221ec17823fec.jpg
30787,AN PHAT COMPUTER,https://tiki.vn/cua-hang/an-phat-computer-can-tho,6e/96/79/ce7c62995c8844602cff5100e7e988f4.png
13093,CÔNG TY VILOCOM,https://tiki.vn/cua-hang/cong-ty-vilocom,e9/10/4f/f59dc1df6af969f7dfd9afd564a0d2c0.jpg
167560,Việt Hưng VHC,https://tiki.vn/cua-hang/viet-hung-vhc,
60386,VNB STORE,https://tiki.vn/cua-hang/vnb-store,https://vcdn.tikicdn.com/ts/seller/5c/74/9a/02cd69f87b407920174dfe87efdaf2b1.jpg
45223,Bảo Hân Treasures,https://tiki.vn/cua-hang/bao-han-treasures,https://vcdn.tikicdn.com/ts/seller/e8/cb/21/9589a13e3034a858189221ec17823fec.jpg
150169,CuongTriNguyen,https://tiki.vn/cua-hang/cuongtringuyen,https://vcdn.tikicdn.com/ts/seller/4b/54/1a/f385a79a716cb3505f152e7af8c769aa.png
9316,TD Computer,https://tiki.vn/cua-hang/td-computer,65/da/11/5d5f6d3b985ab492c43f3da7bb022db9.jpg
106065,vi tính NIC,https://tiki.vn/cua-hang/vi-tinh-nic,54/87/2d/afa9c8be8570b8e02214891778c56b22.jpg
9316,TD Computer,https://tiki.vn/cua-hang/td-computer,https://vcdn.tikicdn.com/ts/seller/65/da/11/5d5f6d3b985ab492c43f3da7bb022db9.jpg
915,Nova Computer,https://tiki.vn/cua-hang/nova-computer,https://vcdn.tikicdn.com/ts/seller/12/55/4c/325a571c8bb059904a3bae1811284012.jpg
11020,Hà Bắc Computer,https://tiki.vn/cua-hang/ha-bac-computer,0e/3b/ec/1fde27eeb8fa2e286546ec039ed86dd6.jpg
