ProductID,UserID,GeneralFeedbackID,Title,Content,Upvote,Rating,CreatedDate,FeedbackDetailID
247719163,16347277.0,19792205,Cực kì hài lòng,Hàng chuẩn,0,5,1709475366,1
205698763,29002035.0,19179222,Cực kì hài lòng,"Màn hình giao an toàn, chất lượng hinh ảnh ok, màu sắc ồn , giao hàng nhanh, đóng gói tốt.",0,5,1683696278,2
205698763,7819104.0,19591230,Cực kì hài lòng,"Giao hàng nhanh, chất lượng cao, màu sắc ổn.",0,5,1697357163,3
205698763,1200141.0,19370074,Cực kì hài lòng,,0,5,1689076201,4
205698763,85465.0,19097557,Cực kì hài lòng,,0,5,1681630291,5
205698763,13170474.0,19063111,Cực kì hài lòng,Ok,1,5,1680846107,6
177813851,28937331.0,18984424,Cực kì hài lòng,,0,5,1679285932,7
19606283,1862313.0,7997021,Cực kì hài lòng,,0,5,1614304662,8
143183383,494140.0,15988315,Cực kì hài lòng,"màn hình xài tốt, không lỗi lầm. bữa mình đặt giao nhanh nên trong sáng đã giao. rất hài lòng",0,5,1650328625,9
143183383,11329509.0,17687510,Cực kì hài lòng,,0,5,1663115015,10
143183383,5256553.0,17651506,Cực kì hài lòng,,0,5,1662790939,11
143183383,10117439.0,17637442,Hài lòng,,0,4,1662678507,12
143183383,634641.0,15042669,Cực kì hài lòng,Màn hình dùng tốt trong tầm giá,0,5,1645282693,13
143183383,19674576.0,15934240,Cực kì hài lòng,,0,5,1650006286,14
143183383,22213167.0,15143644,Cực kì hài lòng,,0,5,1645798214,15
143183383,12756544.0,14290381,Cực kì hài lòng,Tốt,1,5,1641462293,16
143144589,18165666.0,14297497,Cực kì hài lòng,"Good monitor for good price

Pros: High quality image, affordable, fast delivery, durable pieces, lightweight, packaged securely, easy to assemble, includes headphone port

Cons: short power cord, power controls are in the back and are difficult to reach. You probably need an extension power cable. 

Neutral: like many external monitors it has no speakers. You might need headphones. 

Overall: Good product for the price but you need external accessories to make full use of it.",3,5,1641489221,17
143144589,195192.0,15960268,Cực kì hài lòng,Chất lượng rất ổn luôn nha. Lắp đặt và sử dụng đơn giản. Rất phù hợp cho các bạn làm văn phòng.,0,5,1650166794,18
143144589,10324282.0,15369414,Cực kì hài lòng,"hàng full box, tiki now nên giao trong ngày, asus thì hàng ngon rồi không kém dell là mấy. Nói chung ổn với giá tiền",0,5,1647003907,19
143144589,8189006.0,14961122,Cực kì hài lòng,"Màn hình sắc nét, màu sắc chân thực nhưng có 1 điểm chết",0,5,1644852471,20
143144589,1707042.0,17805689,Cực kì hài lòng,"Đẹp, chất lượng, giao hàng nhanh",0,5,1664234620,21
143144589,386797.0,15912960,Cực kì hài lòng,Sản phẩm rất ổn! Dùng đỡ mỏi mắt hẳn,0,5,1649898310,22
143144589,6564938.0,17825369,Cực kì hài lòng,,0,5,1664426362,23
143144589,750795.0,17309270,Cực kì hài lòng,,0,5,1659694752,24
